date,service,cost_usd,is_injected_anomaly
2026-06-13,EC2,34.3,False
2026-06-13,S3,4.33,False
2026-06-13,RDS,80.37,True
2026-06-13,Lambda,2.26,False
2026-06-13,CloudWatch,1.47,False
2026-06-14,EC2,42.8,False
2026-06-14,S3,4.73,False
2026-06-14,RDS,21.44,False
2026-06-14,Lambda,1.84,False
2026-06-14,CloudWatch,1.37,False
2026-06-15,EC2,44.91,False
2026-06-15,S3,23.99,True
2026-06-15,RDS,23.12,False
2026-06-15,Lambda,2.21,False
2026-06-15,CloudWatch,1.34,False
2026-06-16,EC2,36.02,False
2026-06-16,S3,21.24,True
2026-06-16,RDS,23.67,False
2026-06-16,Lambda,1.77,False
2026-06-16,CloudWatch,1.7,False
2026-06-17,EC2,43.54,False
2026-06-17,S3,4.52,False
2026-06-17,RDS,21.44,False
2026-06-17,Lambda,1.78,False
2026-06-17,CloudWatch,1.69,False
2026-06-18,EC2,36.36,False
2026-06-18,S3,4.4,False
2026-06-18,RDS,23.52,False
2026-06-18,Lambda,2.3,False
2026-06-18,CloudWatch,1.48,False
2026-06-19,EC2,35.15,False
2026-06-19,S3,5.64,False
2026-06-19,RDS,27.49,False
2026-06-19,Lambda,1.83,False
2026-06-19,CloudWatch,6.41,True
2026-06-20,EC2,39.23,False
2026-06-20,S3,4.93,False
2026-06-20,RDS,22.66,False
2026-06-20,Lambda,7.33,True
2026-06-20,CloudWatch,1.53,False
2026-06-21,EC2,37.99,False
2026-06-21,S3,5.36,False
2026-06-21,RDS,25.81,False
2026-06-21,Lambda,1.85,False
2026-06-21,CloudWatch,1.28,False
2026-06-22,EC2,36.82,False
2026-06-22,S3,4.73,False
2026-06-22,RDS,26.4,False
2026-06-22,Lambda,1.72,False
2026-06-22,CloudWatch,1.55,False
2026-06-23,EC2,41.06,False
2026-06-23,S3,4.48,False
2026-06-23,RDS,24.46,False
2026-06-23,Lambda,2.16,False
2026-06-23,CloudWatch,1.39,False
2026-06-24,EC2,35.45,False
2026-06-24,S3,5.62,False
2026-06-24,RDS,64.29,True
2026-06-24,Lambda,2.22,False
2026-06-24,CloudWatch,1.37,False
2026-06-25,EC2,35.01,False
2026-06-25,S3,5.13,False
2026-06-25,RDS,24.27,False
2026-06-25,Lambda,2.07,False
2026-06-25,CloudWatch,1.59,False
2026-06-26,EC2,37.2,False
2026-06-26,S3,5.65,False
2026-06-26,RDS,25.14,False
2026-06-26,Lambda,2.03,False
2026-06-26,CloudWatch,1.55,False
2026-06-27,EC2,45.58,False
2026-06-27,S3,5.0,False
2026-06-27,RDS,27.23,False
2026-06-27,Lambda,2.05,False
2026-06-27,CloudWatch,1.4,False
2026-06-28,EC2,42.37,False
2026-06-28,S3,4.61,False
2026-06-28,RDS,27.5,False
2026-06-28,Lambda,1.78,False
2026-06-28,CloudWatch,1.32,False
2026-06-29,EC2,40.73,False
2026-06-29,S3,5.07,False
2026-06-29,RDS,24.6,False
2026-06-29,Lambda,2.15,False
2026-06-29,CloudWatch,7.94,True
2026-06-30,EC2,42.56,False
2026-06-30,S3,4.4,False
2026-06-30,RDS,21.58,False
2026-06-30,Lambda,2.07,False
2026-06-30,CloudWatch,1.37,False
2026-07-01,EC2,36.64,False
2026-07-01,S3,13.72,True
2026-07-01,RDS,24.69,False
2026-07-01,Lambda,1.79,False
2026-07-01,CloudWatch,1.45,False
2026-07-02,EC2,42.17,False
2026-07-02,S3,4.51,False
2026-07-02,RDS,24.1,False
2026-07-02,Lambda,1.92,False
2026-07-02,CloudWatch,1.72,False
2026-07-03,EC2,34.98,False
2026-07-03,S3,5.08,False
2026-07-03,RDS,27.77,False
2026-07-03,Lambda,1.88,False
2026-07-03,CloudWatch,1.3,False
2026-07-04,EC2,35.42,False
2026-07-04,S3,25.03,True
2026-07-04,RDS,24.48,False
2026-07-04,Lambda,2.18,False
2026-07-04,CloudWatch,1.44,False
2026-07-05,EC2,40.9,False
2026-07-05,S3,5.32,False
2026-07-05,RDS,22.12,False
2026-07-05,Lambda,2.18,False
2026-07-05,CloudWatch,1.44,False
2026-07-06,EC2,40.7,False
2026-07-06,S3,4.36,False
2026-07-06,RDS,23.9,False
2026-07-06,Lambda,2.09,False
2026-07-06,CloudWatch,1.57,False
2026-07-07,EC2,34.02,False
2026-07-07,S3,5.21,False
2026-07-07,RDS,22.16,False
2026-07-07,Lambda,2.1,False
2026-07-07,CloudWatch,1.38,False
2026-07-08,EC2,42.63,False
2026-07-08,S3,5.06,False
2026-07-08,RDS,89.26,True
2026-07-08,Lambda,2.29,False
2026-07-08,CloudWatch,1.5,False
2026-07-09,EC2,41.54,False
2026-07-09,S3,5.21,False
2026-07-09,RDS,23.72,False
2026-07-09,Lambda,2.15,False
2026-07-09,CloudWatch,1.31,False
2026-07-10,EC2,43.3,False
2026-07-10,S3,5.14,False
2026-07-10,RDS,124.16,True
2026-07-10,Lambda,2.26,False
2026-07-10,CloudWatch,1.69,False
2026-07-11,EC2,169.12,True
2026-07-11,S3,4.81,False
2026-07-11,RDS,25.61,False
2026-07-11,Lambda,1.75,False
2026-07-11,CloudWatch,1.58,False
2026-07-12,EC2,39.85,False
2026-07-12,S3,4.49,False
2026-07-12,RDS,27.52,False
2026-07-12,Lambda,2.07,False
2026-07-12,CloudWatch,1.28,False
